predictor,out_strength_all,out_strength_criteria,signed_out_all,nonzero_fraction_all,delta_mse_all,delta_mse_criteria
P05,0.9816267644707966,0.06115890881362022,0.8593089468435562,0.42857142857142855,0.05523679577108359,0.0013619134285846046
P07,0.8593797107581356,0.0512271366098693,0.8056483480066747,0.2857142857142857,0.04541121543541077,0.0008073582209458252
P01,0.8963249831002688,0.043008955659557965,0.6598849126787715,0.35714285714285715,0.04638808674961817,0.0007162275651457772
P03,0.9936389349821602,0.021270973103687023,0.9510969887747862,0.2857142857142857,0.058898376007804426,0.0002045792863356044
P02,0.9144684205092989,0.019298324864237833,0.8457761457361266,0.5714285714285714,0.04560531540915699,0.00021910406495331824
P08,0.8149707863066554,0.007964462925468457,0.7990418604557187,0.35714285714285715,0.03303055137383992,8.628099567623004e-05
P04,0.8075404483990269,0.0,0.8075404483990269,0.2857142857142857,0.05065638950162077,0.0
P06,0.9746096246716032,0.0,0.787158197744197,0.35714285714285715,0.04966499568457261,0.0
