predictor,out_strength_all,out_strength_criteria,signed_out_all,nonzero_fraction_all,delta_mse_all,delta_mse_criteria
P02,1.163476826424606,0.3201837733249743,0.654170372655718,0.7142857142857143,0.05402390023926479,0.016707327015086426
P06,1.3077187077256693,0.1573055911263698,0.674608458876262,0.6428571428571429,0.061018533475691084,0.005361257635714212
P03,1.017452198102338,0.10438990469747869,0.8998407826250073,0.5,0.04846686698604796,0.003919759801362388
P08,0.9713680443486241,0.06902153746931651,0.6443631999118371,0.6428571428571429,0.050534405550438866,0.0009046286505299816
P05,1.0455429751260155,0.06580018537641799,0.817442802871689,0.6428571428571429,0.047310784919591564,0.0008256854365219501
P07,1.0932813850082452,0.023529811969012916,1.0932813850082452,0.42857142857142855,0.05216585422864245,0.0004435213823754114
P01,1.03196529707663,0.020926561711839587,0.6851188891547701,0.5,0.05026946333467214,0.0001824307326334096
P04,0.6462923612744056,0.016058626224191533,0.5585437462158491,0.2857142857142857,0.024866369300486302,0.00013990148084913612
